SKU,Model ID,Month_Year_Manufacturing,Brand_Color,Country_of_Origin,FSN,Material
CRYSTAL_MAGSF_WHITE_MI_NOTE_14_5G,CRYSTAL_MAGSF_WHITE_MI_NOTE_14_5G,Mar-26,Transparent,INDIA,ACCHHM3Y6PAASF5Z,Silicon
CRYSTAL_MAGSF_WHITE_MOTO_EDGE_50_FUSION_5G,CRYSTAL_MAGSF_WHITE_MOTO_EDGE_50_FUSION_5G,Mar-26,Transparent,INDIA,ACCHFPYVZGHGMAHZ,Plastic
CRYSTAL_MAGSF_WHITE_MOTO_EDGE_50_FUSION_5G_SN,CRYSTAL_MAGSF_WHITE_MOTO_EDGE_50_FUSION_5G_SN,Mar-26,Transparent,INDIA,ACCHFPYXPTF8PVPU,Plastic
CRYSTAL_MAGSF_WHITE_MOTO_EDGE_60_FUSION_5G,CRYSTAL_MAGSF_WHITE_MOTO_EDGE_60_FUSION_5G,Mar-26,Transparent,INDIA,ACCHFPFEKATKBUWP,Plastic
CRYSTAL_MAGSF_WHITE_MOTO_EDGE_60_FUSION_5G_SN,CRYSTAL_MAGSF_WHITE_MOTO_EDGE_60_FUSION_5G_SN,Mar-26,Transparent,INDIA,ACCHFPFGWMKDGH44,Plastic
CRYSTAL_MAGSF_WHITE_MOTO_G96_5G_50_FUSION_5G,CRYSTAL_MAGSF_WHITE_MOTO_G96_5G_50_FUSION_5G,Mar-26,Transparent,INDIA,ACCHFPF58KVMGTUT,Plastic
CRYSTAL_MAGSF_WHITE_MOTO_G96_5G_50_FUSION_5G_SN,CRYSTAL_MAGSF_WHITE_MOTO_G96_5G_50_FUSION_5G_SN,Mar-26,Transparent,INDIA,ACCHFPF7WVCPRVB2,Plastic
CRYSTAL_MAGSF_WHITE_NOTHING_PHONE_3A,CRYSTAL_MAGSF_WHITE_NOTHING_PHONE_3A,Mar-26,Transparent,INDIA,ACCHFPFHUDZBKZAS,Plastic
CRYSTAL_MAGSF_WHITE_NOTHING_PHONE_3A_852,CRYSTAL_MAGSF_WHITE_NOTHING_PHONE_3A_852,Mar-26,Transparent,INDIA,ACCHFPFNYG8JSFE7,Plastic
CRYSTAL_MAGSF_WHITE_ONE_PLUS_13_5G_852,CRYSTAL_MAGSF_WHITE_ONE_PLUS_13_5G_852,Mar-26,Transparent,INDIA,ACCHFPFVZY5DWQME,Plastic
CRYSTAL_MAGSF_WHITE_OPP_F29_5G,CRYSTAL_MAGSF_WHITE_OPP_F29_5G,Mar-26,Transparent,INDIA,ACCHFP65UFUHYPUZ,Plastic
CRYSTAL_MAGSF_WHITE_OPP_F29_PRO_5G,CRYSTAL_MAGSF_WHITE_OPP_F29_PRO_5G,Mar-26,Transparent,INDIA,ACCHFP6GH7ZPKJFU,Plastic
CRYSTAL_MAGSF_WHITE_OPP_F29_PRO_5G_SN,CRYSTAL_MAGSF_WHITE_OPP_F29_PRO_5G_SN,Mar-26,Transparent,INDIA,ACCHFP6GWESF9ARR,Plastic
CRYSTAL_MAGSF_WHITE_OPP_RENO_13_5G,CRYSTAL_MAGSF_WHITE_OPP_RENO_13_5G,Mar-26,Transparent,INDIA,ACCHFP6QS3VCR4YF,Plastic
CRYSTAL_MAGSF_WHITE_OPP_RENO_13_5G_852,CRYSTAL_MAGSF_WHITE_OPP_RENO_13_5G_852,Mar-26,Transparent,INDIA,ACCHFP6WWFGM9UXR,Plastic
CRYSTAL_MAGSF_WHITE_OPP_RENO_13_5G_SN,CRYSTAL_MAGSF_WHITE_OPP_RENO_13_5G_SN,Mar-26,Transparent,INDIA,ACCHFP6SZ57UCKDW,Plastic
CRYSTAL_MAGSF_WHITE_OPP_RENO_14_5G,CRYSTAL_MAGSF_WHITE_OPP_RENO_14_5G,Mar-26,Transparent,INDIA,ACCHFPAS9ZB2C5WB,Plastic
CRYSTAL_MAGSF_WHITE_OPP_RENO_14_5G_852,CRYSTAL_MAGSF_WHITE_OPP_RENO_14_5G_852,Mar-26,Transparent,INDIA,ACCHFPB5MEAVXYVW,Plastic
CRYSTAL_MAGSF_WHITE_OPP_RENO_14_5G_SN,CRYSTAL_MAGSF_WHITE_OPP_RENO_14_5G_SN,Mar-26,Transparent,INDIA,ACCHFPAZ5WCGBHTV,Plastic
CRYSTAL_MAGSF_WHITE_OPP_RENO_14_PRO_5G,CRYSTAL_MAGSF_WHITE_OPP_RENO_14_PRO_5G,Mar-26,Transparent,INDIA,ACCHFPBFHNSBDHHB,Plastic
CRYSTAL_MAGSF_WHITE_OPP_RENO_14_PRO_5G_SN,CRYSTAL_MAGSF_WHITE_OPP_RENO_14_PRO_5G_SN,Mar-26,Transparent,INDIA,ACCHFPBHNUZ3KG3H,Plastic
CRYSTAL_MAGSF_WHITE_OPPO_A5X_5G,CRYSTAL_MAGSF_WHITE_OPPO_A5X_5G,Mar-26,Transparent,INDIA,ACCHHM54PZUGVEMN,Plastic
CRYSTAL_MAGSF_WHITE_REAL_14X_5G_SN,CRYSTAL_MAGSF_WHITE_REAL_14X_5G_SN,Mar-26,Transparent,INDIA,ACCHFPCAFXNXDQ9D,Plastic
CRYSTAL_MAGSF_WHITE_VIV_T4X_5G_852,CRYSTAL_MAGSF_WHITE_VIV_T4X_5G_852,Mar-26,Transparent,INDIA,ACCHFTXNYUACPJGT,Plastic
CRYSTAL_MAGSF_WHITE_VIV_V40E_5G,CRYSTAL_MAGSF_WHITE_VIV_V40e_5G,Mar-26,Transparent,INDIA,ACCHHM6DV5D87YKB,Plastic
CRYSTAL_MAGSF_WHITE_VIV_V40E_5G_852,CRYSTAL_MAGSF_WHITE_VIV_V40e_5G_852,Mar-26,Transparent,INDIA,ACCHHM6FBVJGFXWB,Plastic
CRYSTAL_MAGSF_WHITE_VIV_V50_5G,CRYSTAL_MAGSF_WHITE_VIV_V50_5G,Mar-26,Transparent,INDIA,ACCHFTXY3RJMEGTG,Plastic
CRYSTAL_MAGSF_WHITE_VIV_V50_5G_852,CRYSTAL_MAGSF_WHITE_VIV_V50_5G_852,Mar-26,Transparent,INDIA,ACCHFTYYAM7GZWXG,Plastic
CRYSTAL_MAGSF_WHITE_VIV_V50_5G_SN,CRYSTAL_MAGSF_WHITE_VIV_V50_5G_SN,Mar-26,Transparent,INDIA,ACCHFTYFTVFNUVZR,Plastic
CRYSTAL_MAGSF_WHITE_VIV_V60_5G,CRYSTAL_MAGSF_WHITE_VIV_V60_5G,Mar-26,Transparent,INDIA,ACCHHM6JZDN5AHPT,Plastic
CRYSTAL_MAGSF_WHITE_VIV_V60_5G_852,CRYSTAL_MAGSF_WHITE_VIV_V60_5G_852,Mar-26,Transparent,INDIA,ACCHHM6HSNXASTK8,Plastic
CRYSTAL_MAGSF_WHITE_VIV_V60_5G_SN,CRYSTAL_MAGSF_WHITE_VIV_V60_5G_SN,Mar-26,Transparent,INDIA,ACCHHM6MS4PBVZGX,Plastic
CRYSTAL_MAGSF_WHITE_VIV_X200_FE_5G_852,CRYSTAL_MAGSF_WHITE_VIV_X200_FE_5G_852,Mar-26,Transparent,INDIA,ACCHHM7YAXAYGQ4Q,Plastic
CRYSTAL_MAGSF_WHITE_VIV_X200_FE_5G_SN,CRYSTAL_MAGSF_WHITE_VIV_X200_FE_5G_SN,Mar-26,Transparent,INDIA,ACCHHM7FR9GSZYGB,Plastic
CRYSTAL_MAGSF_WHITE_VIV_Y29_5G,CRYSTAL_MAGSF_WHITE_VIV_Y29_5G,Mar-26,Transparent,INDIA,ACCHFTY9VDQZWYHV,Plastic
CRYSTAL_MAGSF_WHITE_VIV_Y29_5G_SN,CRYSTAL_MAGSF_WHITE_VIV_Y29_5G_SN,Mar-26,Transparent,INDIA,ACCHFTYBNCGGPJKW,Plastic
CRYSTAL_MAGSF_WHITE_VIV_Y300_5G,CRYSTAL_MAGSF_WHITE_VIV_Y300_5G,Mar-26,Transparent,INDIA,ACCHFTYHMKM2HYPA,Plastic
CRYSTAL_MAGSF_WHITE_VIV_Y300_5G_852,CRYSTAL_MAGSF_WHITE_VIV_Y300_5G_852,Mar-26,Transparent,INDIA,ACCHFTYGQRYME99F,Plastic
CRYSTAL_MAGSF_WHITE_VIV_Y300_5G_SN,CRYSTAL_MAGSF_WHITE_VIV_Y300_5G_SN,Mar-26,Transparent,INDIA,ACCHFTYKFVYG9PEZ,Plastic
CRYSTAL_MAGSF_WHITE_VIV_Y39_5G,CRYSTAL_MAGSF_WHITE_VIV_Y39_5G,Mar-26,Transparent,INDIA,ACCHFTYDGWVAPCC5,Plastic
CRYSTAL_MAGSF_WHITE_VIV_Y400_PRO_5G,CRYSTAL_MAGSF_WHITE_VIV_Y400_PRO_5G,Mar-26,Transparent,INDIA,ACCHFTY5BUAXFDSQ,Plastic
CRYSTAL_MAGSF_WHITE_VIV_Y400_PRO_5G_852,CRYSTAL_MAGSF_WHITE_VIV_Y400_PRO_5G_852,Mar-26,Transparent,INDIA,ACCHFTY7G55HHNDG,Plastic
EAGL_BLAK_INFNX_NOTE_40PRO_5G,EAGL_BLAK_INFNX_NOTE_40PRO_5G,Mar-26,"Black, Transparent",INDIA,ACCH3Q7M9PNKGGFT,"Plastic, Rubber, Fiber"
EAGL_BLAK_INFNX_NOTE12,EAGL_BLAK_INFNX_NOTE12,Mar-26,"Black, Transparent",INDIA,ACCGGUWE2ZEBYRPK,"Plastic, Rubber, Fiber"
EAGL_BLAK_INFNX_NOTE12_63,EAGL_BLAKOTE12_63,Mar-26,"Black, Transparent",INDIA,ACCGGXFRHVPGW4AR,"Plastic, Rubber, Fiber"
EAGL_BLAK_IQOO_Z9_5G_852,EAGL_BLAK_IQOO_Z9_5G_852,Mar-26,"Black, Transparent",INDIA,ACCHFFJFF7QZ2MV3,"Plastic, Rubber, Fiber"
EAGL_BLAK_LAVA_BLAZE_2_5G,EAGL_BLAK_LAVA_BLAZE_2_5G,Mar-26,"Black, Transparent",INDIA,ACCH95KDNGZNTTTV,"Plastic, Rubber, Fiber"
EAGL_BLAK_LAVA_BLAZE_2_5G_852,EAGL_BLAK_LAVA_BLAZE_2_5G_852,Mar-26,"Black, Transparent",INDIA,ACCH95KGZXKMQRHA,"Plastic, Rubber, Fiber"
EAGL_BLAK_LAVA_BLAZE_2_5G_SN,EAGL_BLAK_LAVA_BLAZE_2_5G_SN,Mar-26,"Black, Transparent",INDIA,ACCH95KF8JQ7RAGJ,"Plastic, Rubber, Fiber"
EAGL_BLAK_MI_10A_222,EAGL_BLAK___222,Mar-26,"Black, Transparent",INDIA,ACCGHGFTTQ6A2EEW,"Plastic, Rubber, Fiber"
EAGL_BLAK_MOTO_G05,EAGL_BLAK_MOTO_G05,Mar-26,"Black, Transparent",INDIA,ACCHACVBSFZ3DYKQ,"Plastic, Rubber, Fiber"
EAGL_BLAK_MOTO_G85_5G_SN,EAGL_BLAK_MOTO_G85_5G_SN,Mar-26,"Black, Transparent",INDIA,ACCH2W3ZHTFGHHCC,"Plastic, Rubber, Fiber"
EAGL_BLAK_OPO_A16K,EAGL_BLAK_OPO_A16K,Mar-26,"Black, Transparent",INDIA,ACCGE3SK9WEFBFTQ,"Plastic, Rubber, Fiber"
EAGL_BLAK_OPP_A3PRO_5G_SN,EAGL_BLAK_OPP_A3PRO_5G_SN,Mar-26,"Black, Transparent",INDIA,ACCH2W3YZHTW7ASP,"Plastic, Rubber, Fiber"
EAGL_BLAK_OPP_RENO_4PRO_5G,EAGL_BLAK_OPP_RENO_4PRO_5G,Mar-26,"Black, Transparent",INDIA,ACCH6DR2WQHMACH9,"Plastic, Rubber, Fiber"
EAGL_BLAK_OPP_RENO_4PRO_5G_852,EAGL_BLAK_OPP_RENO_4PRO_5G_852,Mar-26,"Black, Transparent",INDIA,ACCH6DR4SFRXJXMW,"Plastic, Rubber, Fiber"
EAGL_BLAK_POC_X4PRO_5G,EAGL_BLAK_POC_X4PRO_5G,Mar-26,"Black, Transparent",INDIA,ACCGFZNFPHFXXBT4,"Plastic, Rubber, Fiber"
EAGL_BLAK_REAL_12_12X_C65_NARZO_70X_5G,EAGL_BLAK_REAL_12_12X_C65_NARZO_70X_5G,Mar-26,"Black, Transparent",INDIA,ACCHF2D63Y3BZBC6,"Plastic, Rubber, Fiber"
EAGL_BLAK_REAL_13PRO_5G,EAGL_BLAK_REAL_13PRO_5G,Mar-26,"Black, Transparent",INDIA,ACCH3MV8YZZHTKUS,"Plastic, Rubber, Fiber"
EAGL_BLAK_REAL_13PRO_5G_852,EAGL_BLAK_REAL_13PRO_5G_852,Mar-26,"Black, Transparent",INDIA,ACCH3NTEWHGHMQMF,"Plastic, Rubber, Fiber"
EAGL_BLAK_REAL_P2PRO_5G_SN,EAGL_BLAK_REAL_P2PRO_5G_SN,Mar-26,"Black, Transparent",INDIA,ACCHACXG5X7XV5SH,"Plastic, Rubber, Fiber"
EAGL_BLAK_REAL_P3X_5G_SN,EAGL_BLAK_REAL_P3X_5G_SN,Mar-26,"Black, Transparent",INDIA,ACCHACWKWBH4ZBYN,"Plastic, Rubber, Fiber"
EAGL_BLAK_SAM_A35_5G_SN,EAGL_BLAK_SAM_A35_5G_SN,Mar-26,"Black, Transparent",INDIA,ACCGZDF4V7MVXWRU,"Plastic, Rubber, Fiber"
EAGL_BLAK_SAM_A55_5G_852,EAGL_BLAK_SAM_A55_5G_852,Mar-26,"Black, Transparent",INDIA,ACCGZTYDRFCAMKZH,"Plastic, Rubber, Fiber"
EAGL_BLAK_TCNO_CAMON_30_5G,EAGL_BLAK_TCNO_CAMON_30_5G,Mar-26,"Black, Transparent",INDIA,ACCH2WYMPX8HBQGD,"Plastic, Rubber, Fiber"
EAGL_BLAK_TCNO_CAMON_30_5G_SN,EAGL_BLAK_TCNO_CAMON_30_5G_SN,Mar-26,"Black, Transparent",INDIA,ACCH2WYMPX8DPZEQ,"Plastic, Rubber, Fiber"
EAGL_BLAK_TCNO_POVA_5PRO_5G,EAGL_BLAK_TCNO_POVA_5PRO_5G,Mar-26,"Black, Transparent",INDIA,ACCGXGW9RZCGFTXH,"Plastic, Rubber, Fiber"
EAGL_BLAK_TCNO_POVA_5PRO_5G_SN,EAGL_BLAK_TCNO_POVA_5PRO_5G_SN,Mar-26,"Black, Transparent",INDIA,ACCGZFVHHM8ZMHDK,"Plastic, Rubber, Fiber"
EAGL_BLAK_TCNO_POVA3,EAGL_BLAK_TCNO_POVA3,Mar-26,"Black, Transparent",INDIA,ACCGHWZP3WXHV5PZ,"Plastic, Rubber, Fiber"
EAGL_BLAK_TCNO_POVA3_852,EAGL_BLAK_TCNO_POVA3_852,Mar-26,"Black, Transparent",INDIA,ACCGHWZPWSFYHAU9,"Plastic, Rubber, Fiber"
